77552,WESCO INTERNATIONAL INC,10-K,929008,2011-02-25,https://www.sec.gov/Archives/edgar/data/929008/0000950123-11-018103-index.htm
77559,WEST CANYON ENERGY CORP.,NT 10-Q,1343601,2011-02-14,https://www.sec.gov/Archives/edgar/data/1343601/0001204459-11-000393-index.htm
77561,WEST COAST BANCORP /NEW/OR/,10-K,717059,2011-03-10,https://www.sec.gov/Archives/edgar/data/717059/0001206774-11-000474-index.htm
77564,WEST MARINE INC,10-K,912833,2011-03-14,https://www.sec.gov/Archives/edgar/data/912833/0001193125-11-065857-index.htm
77567,WEST SUBURBAN BANCORP INC,10-K,805080,2011-03-14,https://www.sec.gov/Archives/edgar/data/805080/0001104659-11-014090-index.htm
77570,WESTAR ENERGY INC /KS,10-K,54507,2011-02-24,https://www.sec.gov/Archives/edgar/data/54507/0001193125-11-045500-index.htm
77573,WESTCLIFF CAPITAL MANAGEMENT LLC/CA,13F-HR,1057396,2011-02-14,https://www.sec.gov/Archives/edgar/data/1057396/0000950005-11-000031-index.htm
77576,WESTERGAARD COM INC,10-K,1106974,2011-01-28,https://www.sec.gov/Archives/edgar/data/1106974/0001121781-11-000021-index.htm
77579,WESTERN ALLIANCE BANCORPORATION,DEF 14A,1212545,2011-03-11,https://www.sec.gov/Archives/edgar/data/1212545/0000950123-11-024749-index.htm
77584,WESTERN ASSET MUNICIPAL HIGH INCOME FUND INC.,DEF 14A,830487,2011-01-31,https://www.sec.gov/Archives/edgar/data/830487/0001104659-11-003846-index.htm
77587,WESTERN DIGITAL CORP,10-Q,106040,2011-01-28,https://www.sec.gov/Archives/edgar/data/106040/0000950123-11-006257-index.htm
80388,BOYD WATTERSON ASSET MANAGEMENT LLC/OH,13F-HR,1121477,2011-04-15,https://www.sec.gov/Archives/edgar/data/1121477/0001121477-11-000002-index.htm
80390,BP CAPITAL MANAGEMENT L P,13F-HR,1218269,2011-05-16,https://www.sec.gov/Archives/edgar/data/1218269/0000950123-11-050712-index.htm
80392,BP PRUDHOE BAY ROYALTY TRUST,10-Q,850033,2011-05-10,https://www.sec.gov/Archives/edgar/data/850033/0000950123-11-047888-index.htm
80913,CALIFORNIA FIRST NATIONAL BANCORP,10-Q,803016,2011-05-12,https://www.sec.gov/Archives/edgar/data/803016/0000803016-11-000011-index.htm
81891,CONTINENTAL RESOURCES INC,10-Q,732834,2011-05-05,https://www.sec.gov/Archives/edgar/data/732834/0001193125-11-128377-index.htm
81893,CONTINUCARE CORP,10-Q,803352,2011-05-05,https://www.sec.gov/Archives/edgar/data/803352/0000950123-11-045159-index.htm
81900,CONVENIENTCAST INC.,NT 10-Q,1269879,2011-05-16,https://www.sec.gov/Archives/edgar/data/1269879/0001188112-11-001419-index.htm
98088,"BTHC XV, Inc.",10-Q/A,1412090,2011-08-19,https://www.sec.gov/Archives/edgar/data/1412090/0001010549-11-000897-index.htm
101602,FOUNDERS BANK & TRUST,13F-HR,1358096,2011-08-09,https://www.sec.gov/Archives/edgar/data/1358096/0001358096-11-000003-index.htm
101748,First Advantage Bancorp,10-Q,1404306,2011-08-15,https://www.sec.gov/Archives/edgar/data/1404306/0001404306-11-000028-index.htm
2755,CITIZENS FIRST CORP,10-K,1073475,2012-03-30,https://www.sec.gov/Archives/edgar/data/1073475/0001104659-12-022667-index.htm
3946,DEVRY INC,10-Q,730464,2012-02-06,https://www.sec.gov/Archives/edgar/data/730464/0001193125-12-040930-index.htm
15466,AMERICAN SUPERCONDUCTOR CORP /DE/,DEF 14A,880807,2012-06-26,https://www.sec.gov/Archives/edgar/data/880807/0001193125-12-283889-index.htm
78870,CorMedix Inc.,10-Q,1410098,2013-05-15,https://www.sec.gov/Archives/edgar/data/1410098/0001144204-13-029499-index.htm
78871,CorMedix Inc.,DEF 14A,1410098,2013-06-20,https://www.sec.gov/Archives/edgar/data/1410098/0001144204-13-035834-index.htm
138456,Cumberland Partners Ltd,13F-HR,1578985,2014-04-08,https://www.sec.gov/Archives/edgar/data/1578985/0001144204-14-021255-index.htm
